PLAYER_NAME	FIRST_DAY	DURATION	STAGE	MATCH	MAP	TEAM	TEAM_NAME	TEAM_DURATION	TEAMMATE	FIRST_WIN	FIRST_WIN_TEAM	FIRST_WIN_MAP	MAP_DUPLICATE	MOST_MAP	HERO	MOST_HERO	HOUR	HERO_STAGE1	HERO_STAGE2	HERO_STAGE3	KILL	DATE_KILL	TEAM_KILL	MAP_KILL	COUNT_KILL	KILL_PLAYER	DEATH	DATE_DEATH	TEAM_DEATH	MAP_DEATH	COUNT_DEATH	DEATH_PLAYER	WORLD_TIME	WORLD_TEAM	WORLD_RESULT	LAST_DATE	LAST_TEAM	TEAM_TOTAL
TAIMOUREN	9月6日	7	1	7	24	1	BOOM	251.1	FEIYANG	9月13日	ROC ESPORTS	苏拉瓦萨	9	直布罗陀	10	安娜	96.3			安娜	70	9月28日	MILK TEA	苏拉瓦萨	10	800	184	10月5日	MDY	直布罗陀	11	ALPHARI				10月5日	MDY	BOOM
TAMPER	3月27日	2	1	2	6	1	SUPER LEVI	56.9	JEREMY, JIMMY				5	萨摩亚	3	雾子	28.8	雾子			11	3月28日	TEAM XX	萨摩亚	5	ALPHARI	47	3月27日	LITTLE SHEEP	哈瓦那	10	WH4LE				3月28日	TEAM XX	SUPER LEVI
TENGYUAN	5月31日	2	1	2	3	1	ZONES	34.2	PARD0N, RULER, WYA	6月8日	LITTLE SHEEP	绿洲城	3	皇家赛道 绿洲城 鲁纳塞彼	3	猎空	15.8		猎空		32	6月8日	LITTLE SHEEP	皇家赛道	16	SKYSHOW	22	6月8日	LITTLE SHEEP	皇家赛道	13	SKYSHOW				6月8日	LITTLE SHEEP	ZONES
TOM4TO	3月27日	3	1	3	7	1	SUPER LEVI	61.9	JEREMY, JIMMY				5	哈瓦那 萨摩亚	2	安娜	40.1	安娜			8	3月30日	ONCE AGAIN	漓江塔	3	APR1TA	47	3月30日	ONCE AGAIN	苏拉瓦萨	9	LIGE				3月30日	ONCE AGAIN	SUPER LEVI
TWE12E	3月27日	6	2	6	9	2	TEAM XX	55.1	FEIYANG, PROYUNG				7	国王大道 苏拉瓦萨	3	弗蕾娅	55.0	卡西迪	弗蕾娅		32	6月7日	ONCE AGAIN	直布罗陀	7	LEAVE	53	5月31日	ROC ESPORTS	国王大道	10	DIYA SHY				6月7日	ONCE AGAIN	TEAM EQUAL和TEAM XX
UNKN0W	3月28日	24	3	27	94	3	TEAM CC	489.6	FARWAY2025, KANEKI, PINEAPPLE	3月28日	SUPER LEVI	萨摩亚	23	伊利奥斯 苏拉瓦萨	7	卢西奥	388.3	卢西奥	布丽吉塔	无漾	241	9月12日	MDY	阿特利斯	8	ALPHARI	474	9月21日	ZONES	直布罗陀	12	BELOSREA	1	AL QADSIAH	12强	10月12日	TEAM CC	MILK TEA和TEAM CC和TEAM XX
VERDE	9月7日	7	1	7	22	1	MDY	204.4	M1NUT2	9月14日	ZONES	伊利奥斯	9	伊利奥斯	4	无漾	152.9			无漾	46	10月5日	BOOM	苏拉瓦萨	8	FEIYANG LILKO	152	9月7日	ONCE AGAIN	阿特利斯	14	PRIDE				10月5日	BOOM	MDY
WEN	3月27日	11	2	11	40	2	HOMIE E	286.8	FARI	3月29日	TEAM EQUAL	漓江塔	17	皇家赛道 绿洲城	8	奥丽莎	209.8	DVA	奥丽莎		325	5月24日	LITTLE SHEEP	好莱坞	21	KUSARI	276	5月24日	LITTLE SHEEP	好莱坞	12	DIYA				6月21日	ZONES	BLADE和HOMIE E
WH4LE	3月27日	16	2	16	58	2	YNB ESPORTS	387.3	ALPHARI, SARA	3月27日	SUPER LEVI	萨摩亚	14	埃斯佩兰萨	8	弗蕾娅	164.8	卡西迪		弗蕾娅	426	4月6日	ROC ESPORTS	哈瓦那	18	PRIDE	465	10月10日	ONCE AGAIN	国王大道	16	PRIDE				10月12日	MILK TEA	LITTLE SHEEP和YNB ESPORTS
WYA	5月24日	16	2	16	54	1	ZONES	613.1	PRIDE	5月24日	TEAM XX	多拉多	17	伊利奥斯	5	安娜	292.6		安娜	雾子	153	9月21日	MILK TEA	苏拉瓦萨	7	ALPHARI	323	10月4日	YNB ESPORTS	萨摩亚	11	ALPHARI				10月11日	YNB ESPORTS	ZONES
XII	5月30日	9	1	9	20	1	MILK TEA	218.4	EILEEN, INSANE, KYO	5月30日	LITTLE SHEEP	苏拉瓦萨	9	伊利奥斯	2	布丽吉塔	129.6		布丽吉塔		51	6月22日	TEAM XX	新渣客城	8	LILKO POV	136	6月15日	HOMIE E	绿洲城	12	KANEKI SKYSHOW				6月29日	TEAM CC	MILK TEA
